代號,名稱,市場,漲幅%,5日籌碼,外資5日,投信5日,投信連買,5日集中%,預估量比
00910,第一金太空衛星,TW,0.0,2675.0739999999996,994.135,0.0,0,0.0,0.0
00911,兆豐洲際半導體,TW,0.0,340.276,6.154999999999999,0.0,0,0.0,0.0
00912,中信臺灣智慧50,TW,0.0,1419.556,69.04999999999998,0.0,0,0.0,0.0
00913,兆豐台灣晶圓製造,TW,0.0,-53.625999999999976,-1360.0,0.0,0,0.0,0.0
00915,凱基優選高股息30,TW,0.0,1833.9099999999999,-489.961,0.0,0,0.0,0.0
00916,國泰全球品牌50,TW,0.0,3390.6110000000003,151.615,0.0,0,0.0,0.0
00917,中信特選金融,TW,0.0,-113.01599999999996,-856.1800000000001,0.0,0,0.0,0.0
00918,大華優利高填息30,TW,0.0,5056.804,1586.32,0.0,0,0.0,0.0
00919,群益台灣精選高息,TW,0.0,60254.320999999996,29028.528,0.0,0,0.0,0.0
00920,富邦ESG綠色電力,TW,0.0,469.03,626.0,0.0,0,0.0,0.0
00921,兆豐龍頭等權重,TW,0.0,556.943,-1.0,0.0,0,0.0,0.0
00922,國泰台灣領袖50,TW,0.0,10401.718,130.60399999999993,0.0,0,0.0,0.0
00923,群益台ESG低碳50,TW,0.0,-32046.616,-855.23,0.0,0,0.0,0.0
00924,復華S&P500成長,TW,0.0,-788.974,-677.463,0.0,0,0.0,0.0
00926,凱基全球菁英55,TW,0.0,-1593.258,-752.895,0.0,0,0.0,0.0
00927,群益半導體收益,TW,0.0,6841.708,628.4949999999999,0.0,0,0.0,0.0
00929,復華台灣科技優息,TW,0.0,-39860.776,-98.67100000000028,0.0,0,0.0,0.0
00930,永豐ESG低碳高息,TW,0.0,1066.81,174.095,0.0,0,0.0,0.0
00932,兆豐永續高息等權,TW,0.0,1449.129,-73.0,0.0,0,0.0,0.0
00934,中信成長高股息,TW,0.0,1017.3040000000001,-220.95,0.0,0,0.0,0.0
00935,野村臺灣新科技50,TW,0.0,14652.046,5545.994,-379.0,0,0.0,0.0
00936,台新永續高息中小,TW,0.0,2107.3540000000003,-560.0,0.0,0,0.0,0.0
00938,凱基優選30,TW,0.0,-1082.064,-264.0,0.0,0,0.0,0.0
00939,統一台灣高息動能,TW,0.0,3668.2599999999998,592.0,0.0,0,0.0,0.0
00940,元大台灣價值高息,TW,0.0,42728.386,3407.807,0.0,0,0.0,0.0
00941,中信上游半導體,TW,0.0,3528.2960000000003,2202.02,0.0,0,0.0,0.0
00943,兆豐電子高息等權,TW,0.0,193.54399999999998,-459.0,0.0,0,0.0,0.0
00944,野村趨勢動能高息,TW,0.0,132.214,-173.067,0.0,0,0.0,0.0
00945B,凱基美國非投等債,TW,0.0,-14420.357000000002,799.0,0.0,0,0.0,0.0
00946,群益科技高息成長,TW,0.0,6922.813999999999,2430.005,0.0,0,0.0,0.0
00947,台新臺灣IC設計,TW,0.0,7862.633,4041.63,0.0,0,0.0,0.0
00949,復華日本龍頭,TW,0.0,1013.535,79.045,0.0,0,0.0,0.0
00951,台新日本半導體,TW,0.0,1150.2830000000001,493.0,0.0,0,0.0,0.0
00952,凱基台灣AI50,TW,0.0,1290.0839999999998,-139.9,0.0,0,0.0,0.0
00953B,群益優選非投等債,TW,0.0,-14816.877,-1730.133,5000.0,0,0.0,0.0
00954,中信日本半導體,TW,0.0,245.08500000000004,438.04999999999995,0.0,0,0.0,0.0
00956,中信日經高股息,TW,0.0,27.13299999999998,3.0,0.0,0,0.0,0.0
00960,野村全球航運龍頭,TW,0.0,606.496,21.0,0.0,0,0.0,0.0
00961,FT臺灣永續高息,TW,0.0,-93893.686,309.928,0.0,0,0.0,0.0
00962,台新AI優息動能,TW,0.0,-1634.1970000000001,-353.0,0.0,0,0.0,0.0
00963,中信全球高股息,TW,0.0,-4633.222,-786.0,0.0,0,0.0,0.0
00964,中信亞太高股息,TW,0.0,1901.526,338.0,0.0,0,0.0,0.0
00965,元大航太防衛科技,TW,0.0,11450.767,1549.93,-1800.0,0,0.0,0.0
00971,野村美國研發龍頭,TW,0.0,217.47,-4.0,0.0,0,0.0,0.0
00972,野村日本動能高息,TW,0.0,137.209,-5.0,0.0,0,0.0,0.0
009800,中信NASDAQ,TW,0.0,293.66999999999996,-79.0,0.0,0,0.0,0.0
009801,中信美國創新科技,TW,0.0,-914.155,-66.0,0.0,0,0.0,0.0
009802,富邦旗艦50,TW,0.0,6633.862999999999,1490.0,0.0,0,0.0,0.0
009803,玉山市值動能50,TW,0.0,1999.1970000000001,-127.0,0.0,0,0.0,0.0
009804,聯邦台精彩50,TW,0.0,1911.825,-117.0,0.0,0,0.0,0.0
009805,台新美國電力基建,TW,0.0,11768.155,-100.879,0.0,0,0.0,0.0
009808,華南永昌優選50,TW,0.0,531.179,-73.0,0.0,0,0.0,0.0
009809,富邦淨零ESG50,TW,0.0,322.88800000000003,20.0,0.0,0,0.0,0.0
00980A,主動野村臺灣優選,TW,0.0,-3124.339,1953.79,2957.0,5,0.0,0.0
009810,玉山全球藍籌100,TW,0.0,63.991,-11.0,0.0,0,0.0,0.0
009811,統一美國50,TW,0.0,-635.241,-40.0,0.0,0,0.0,0.0
009812,野村日本東證,TW,0.0,750.242,-509.0,0.0,0,0.0,0.0
009813,貝萊德標普卓越50,TW,0.0,3515.329,422.71,0.0,0,0.0,0.0
009816,凱基台灣TOP50,TW,0.0,108373.32699999999,21485.190000000002,0.0,0,0.0,0.0
009817,國泰日本不動產,TW,0.0,580.872,959.0,0.0,0,0.0,0.0
009818,華南永昌NASDAQxT,TW,0.0,904.173,-6.0,0.0,0,0.0,0.0
009819,中信數據及電力,TW,0.0,29448.234,14116.74,0.0,0,0.0,0.0
00981A,主動統一台股增長,TW,0.0,222257.3,70298.006,-1800.0,0,0.0,0.0
00981T,平衡凱基雙核收息,TW,0.0,-6690.023,1.0,0.0,0,0.0,0.0
009820,元大納斯達克精選,TW,0.0,62919.668,4734.0,0.0,0,0.0,0.0
009821,野村稀土關鍵資源,TW,0.0,68085.82,23697.0,0.0,0,0.0,0.0
009824,群益美國科技巨頭,TW,0.0,20976.907,4519.0,0.0,0,0.0,0.0
009826,貝萊德世界股票,TW,0.0,-79398.375,62.131,0.0,0,0.0,0.0
00982A,主動群益台灣強棒,TW,0.0,-15123.123,-14185.71,0.0,0,0.0,0.0
